,id,x,y,z,a,b,c,d
0,2,0.4703553318977356,0.0015473754610866308,0.1889183074235916,0.010635469108819962,-0.0174813624471426,-0.015760056674480438,-0.9996664524078369
1,1,0.06569778919219971,0.14821182191371918,0.18946512043476105,-0.004435026086866856,0.5280208587646484,0.013242391869425774,-0.8491165637969971
2,2,0.47034743428230286,0.0015578665770590305,0.18893633782863617,0.010520116426050663,-0.017384327948093414,-0.01601402647793293,-0.9996652603149414
3,1,0.06570212543010712,0.14820632338523865,0.18946272134780884,-0.004376102704554796,0.5279592275619507,0.01336196530610323,-0.8491533398628235
4,2,0.47035953402519226,0.0015518692089244723,0.18891103565692902,0.010580023750662804,-0.01745520904660225,-0.015737595036625862,-0.9996678829193115
5,1,0.06570018827915192,0.14820611476898193,0.18946416676044464,-0.004431960638612509,0.5280097126960754,0.01324100885540247,-0.8491235375404358
6,2,0.4703504145145416,0.0015621710335835814,0.18893879652023315,0.010521618649363518,-0.01737658679485321,-0.016033682972192764,-0.9996650815010071
7,1,0.06569944322109222,0.14820684492588043,0.1894652098417282,-0.004386575892567635,0.5280205011367798,0.013196581974625587,-0.8491178750991821
8,2,0.4703525900840759,0.001565848826430738,0.18893760442733765,0.010534623637795448,-0.0173856932669878,-0.01599825918674469,-0.9996654391288757
9,1,0.06570450961589813,0.14821402728557587,0.18946464359760284,-0.0043401094153523445,0.5279960632324219,0.013199624605476856,-0.8491331934928894
10,2,0.47035953402519226,0.0015493640676140785,0.18891215324401855,0.010547970421612263,-0.017494481056928635,-0.015726564452052116,-0.9996676445007324
11,1,0.065702423453331,0.1482117623090744,0.18946649134159088,-0.004425889812409878,0.5280316472053528,0.013096087612211704,-0.8491122722625732
12,2,0.47035476565361023,0.0015596650773659348,0.18893519043922424,0.01055037323385477,-0.01738923229277134,-0.016003090888261795,-0.9996651411056519
13,1,0.06569796800613403,0.1482069045305252,0.18946734070777893,-0.0043866923078894615,0.5279901027679443,0.01318112201988697,-0.8491368293762207
14,2,0.4703478217124939,0.0015581613406538963,0.18894165754318237,0.010513486340641975,-0.017382193356752396,-0.01598319411277771,-0.9996659159660339
15,1,0.06570133566856384,0.14820875227451324,0.18947118520736694,-0.0043341126292943954,0.5279828906059265,0.0132491709664464,-0.8491406440734863
16,2,0.47035205364227295,0.0015647660475224257,0.18894153833389282,0.010545528493821621,-0.01738905720412731,-0.01599581353366375,-0.9996652007102966
17,1,0.06569947302341461,0.14820879697799683,0.1894674003124237,-0.004359724931418896,0.5280272364616394,0.013189330697059631,-0.8491138219833374
18,2,0.47036147117614746,0.0015431432984769344,0.18891623616218567,0.010589785873889923,-0.017451712861657143,-0.015705043449997902,-0.999668300151825
19,1,0.0657002180814743,0.14821112155914307,0.18946528434753418,-0.004371838644146919,0.5279731750488281,0.013253290206193924,-0.8491464257240295
